timestamp,stock,price,signal
2026-07-16 17:59:12,MOCKSTOCK,104.64,HOLD
2026-07-16 17:59:15,MOCKSTOCK,105.52,BUY
2026-07-16 17:59:32,MOCKSTOCK,104.77,HOLD
2026-07-16 19:58:44,MOCKSTOCK,105.47,BUY
2026-07-16 19:58:48,MOCKSTOCK,104.80,HOLD
2026-07-16 19:58:50,MOCKSTOCK,105.63,BUY
2026-07-16 19:58:57,MOCKSTOCK,104.87,HOLD
2026-07-16 19:58:59,MOCKSTOCK,105.55,BUY
2026-07-16 20:33:17,MOCKSTOCK,99.16,HOLD
2026-07-16 20:34:12,MOCKSTOCK,105.19,BUY
2026-07-16 20:34:14,MOCKSTOCK,104.72,HOLD
2026-07-16 20:34:18,MOCKSTOCK,105.49,BUY
2026-07-16 20:34:28,MOCKSTOCK,104.84,HOLD
2026-07-16 20:34:30,MOCKSTOCK,105.40,BUY
2026-07-16 20:34:40,MOCKSTOCK,105.00,HOLD
2026-07-16 20:37:10,MOCKSTOCK,105.34,BUY
2026-07-16 20:38:10,MOCKSTOCK,104.67,HOLD
2026-07-16 20:39:17,MOCKSTOCK,105.17,BUY
2026-07-16 20:39:17,MOCKSTOCK,104.66,HOLD
2026-07-16 20:39:24,MOCKSTOCK,105.01,BUY
2026-07-16 20:39:30,MOCKSTOCK,104.88,HOLD
2026-07-16 20:39:32,MOCKSTOCK,105.34,BUY
2026-07-16 20:39:52,MOCKSTOCK,104.58,HOLD
2026-07-16 22:50:36,MOCKSTOCK,94.39,SELL
2026-07-16 22:50:38,MOCKSTOCK,95.02,HOLD
2026-07-16 22:53:48,MOCKSTOCK,94.23,SELL
2026-07-16 22:54:00,MOCKSTOCK,100.87,HOLD
2026-07-18 08:21:47,MOCKSTOCK,105.08,BUY
2026-07-18 08:21:49,MOCKSTOCK,104.95,HOLD
2026-07-18 08:21:51,MOCKSTOCK,105.43,BUY
2026-07-18 08:21:55,MOCKSTOCK,104.21,HOLD
2026-07-18 10:38:16,MOCKSTOCK,105.42,BUY
2026-07-18 10:38:17,MOCKSTOCK,104.72,HOLD
2026-07-18 22:26:20,MOCKSTOCK,105.34,BUY
2026-07-18 22:26:22,MOCKSTOCK,104.47,HOLD
2026-07-18 22:26:24,MOCKSTOCK,105.05,BUY
